filename,title,date,year,month,day
1994-01-27-DerDGBaufderSuchenachneu.txt,DerDGBaufderSuchenachneu.txt,1994-01-27,1994,01,27
1994-03-03-DerMilliardenflop.txt,DerMilliardenflop.txt,1994-03-03,1994,03,03
1994-04-13-HierwirddieNaturveraendert.txt,HierwirddieNaturveraendert.txt,1994-04-13,1994,04,13
1994-04-21-EndlageraufderlangenBank.txt,EndlageraufderlangenBank.txt,1994-04-21,1994,04,21
1994-04-29-TrotzmassiverProtestevonGu.txt,TrotzmassiverProtestevonGu.txt,1994-04-29,1994,04,29
1994-05-31-RadioDeutschlandfunk.txt,RadioDeutschlandfunk.txt,1994-05-31,1994,05,31
1994-08-02-EngagementfuerTschernobylge.txt,EngagementfuerTschernobylge.txt,1994-08-02,1994,08,02
1994-08-10-BuerokratenblockierenEinsatz.txt,BuerokratenblockierenEinsatz.txt,1994-08-10,1994,08,10
1994-08-10-NocheinmaldavongekommenSie.txt,NocheinmaldavongekommenSie.txt,1994-08-10,1994,08,10
1994-10-14-DerRueckzugindasKuckucksei.txt,DerRueckzugindasKuckucksei.txt,1994-10-14,1994,10,14
1994-11-23-GegenGorlebenDieWAAGegner.txt,GegenGorlebenDieWAAGegner.txt,1994-11-23,1994,11,23
1994-11-23-VomtaeglichenWiderspruchAu.txt,VomtaeglichenWiderspruchAu.txt,1994-11-23,1994,11,23
1994-12-01-WartenaufdasWirtschaftswund.txt,WartenaufdasWirtschaftswund.txt,1994-12-01,1994,12,01
1994-12-12-EinfeierlichesVersprechen.txt,EinfeierlichesVersprechen.txt,1994-12-12,1994,12,12
1994-12-19-AufdemehemaligenWAAGelaend.txt,AufdemehemaligenWAAGelaend.txt,1994-12-19,1994,12,19
1994-12-21-AufdemGelaendederehemalige.txt,AufdemGelaendederehemalige.txt,1994-12-21,1994,12,21
1994-12-21-VollzugdesneuenPolizeiaufga.txt,VollzugdesneuenPolizeiaufga.txt,1994-12-21,1994,12,21
1995-02-02-UmweltministerverwundertDeba.txt,UmweltministerverwundertDeba.txt,1995-02-02,1995,02,02
1995-02-03-OttoWiesheuzurZukunftvonS.txt,OttoWiesheuzurZukunftvonS.txt,1995-02-03,1995,02,03
1995-02-10-RWEMilliardenSchaedendurch.txt,RWEMilliardenSchaedendurch.txt,1995-02-10,1995,02,10
1995-02-17-WegenWAAProtestenAchtJahr.txt,WegenWAAProtestenAchtJahr.txt,1995-02-17,1995,02,17
1995-02-18-SchnellerBrueterfuereineDM.txt,SchnellerBrueterfuereineDM.txt,1995-02-18,1995,02,18
1995-02-24-DasStreiflicht.txt,DasStreiflicht.txt,1995-02-24,1995,02,24
1995-02-24-WackersdorfMilliardeerstzur.txt,WackersdorfMilliardeerstzur.txt,1995-02-24,1995,02,24
1995-03-20-EinTestspielmitErleuchtung.txt,EinTestspielmitErleuchtung.txt,1995-03-20,1995,03,20
1995-03-30-TrotzBVGUrteilkeineautomat.txt,TrotzBVGUrteilkeineautomat.txt,1995-03-30,1995,03,30
1995-04-08-BIRGITWEIDINGERGoldstaubimN.txt,BIRGITWEIDINGERGoldstaubimN.txt,1995-04-08,1995,04,08
1995-04-26-TiefladermitNuklearabfallim.txt,TiefladermitNuklearabfallim.txt,1995-04-26,1995,04,26
1995-05-06-BayernwillkeinZwischenlager.txt,BayernwillkeinZwischenlager.txt,1995-05-06,1995,05,06
1995-05-06-THEMENDESTAGESSchwacheArgu.txt,THEMENDESTAGESSchwacheArgu.txt,1995-05-06,1995,05,06
1995-05-24-SolarstromimSchattenderAto.txt,SolarstromimSchattenderAto.txt,1995-05-24,1995,05,24
1995-05-26-BMWunterschreibtKaufvertrag.txt,BMWunterschreibtKaufvertrag.txt,1995-05-26,1995,05,26
1995-05-29-AtomaresZwischenlagerinWack.txt,AtomaresZwischenlagerinWack.txt,1995-05-29,1995,05,29
1995-07-01-MeinungswandelnachExpertenA.txt,MeinungswandelnachExpertenA.txt,1995-07-01,1995,07,01
1995-07-06-BuergerentscheidimLandtagbe.txt,BuergerentscheidimLandtagbe.txt,1995-07-06,1995,07,06
1995-08-23-MuellhaldenundMoerderDieU.txt,MuellhaldenundMoerderDieU.txt,1995-08-23,1995,08,23
1995-09-16-ErsterSpatenstichbeiBMWin.txt,ErsterSpatenstichbeiBMWin.txt,1995-09-16,1995,09,16
1995-09-18-BMWbautGewerbeparkinWacker.txt,BMWbautGewerbeparkinWacker.txt,1995-09-18,1995,09,18
1995-09-26-UEberdieKoepfederSlowaken.txt,UEberdieKoepfederSlowaken.txt,1995-09-26,1995,09,26
1995-10-16-ProtestaktiongegenDonauKana.txt,ProtestaktiongegenDonauKana.txt,1995-10-16,1995,10,16
1995-11-16-Wirtschaftsministerwillschne.txt,Wirtschaftsministerwillschne.txt,1995-11-16,1995,11,16
1995-12-20-NordrheinWestfalenUmweltmin.txt,NordrheinWestfalenUmweltmin.txt,1995-12-20,1995,12,20
1996-04-13-SpontanProtestimUmweltminis.txt,SpontanProtestimUmweltminis.txt,1996-04-13,1996,04,13
1996-04-19-GegenForschungsreaktorKernkr.txt,GegenForschungsreaktorKernkr.txt,1996-04-19,1996,04,19
1996-04-25-Terminezum10TschernobylJa.txt,Terminezum10TschernobylJa.txt,1996-04-25,1996,04,25
1996-04-29-DemonstrationenzumTschernoby.txt,DemonstrationenzumTschernoby.txt,1996-04-29,1996,04,29
1996-04-30-EigentlichgebuehrtihmderBa.txt,EigentlichgebuehrtihmderBa.txt,1996-04-30,1996,04,30
1996-05-17-Energiekonsensaberwie.txt,Energiekonsensaberwie.txt,1996-05-17,1996,05,17
1996-05-17-SchnellerBruetersollzumFre.txt,SchnellerBruetersollzumFre.txt,1996-05-17,1996,05,17
1996-05-21-Atomzwischenlager.txt,Atomzwischenlager.txt,1996-05-21,1996,05,21
1996-05-28-FreizeitparkKalkarKinderspie.txt,FreizeitparkKalkarKinderspie.txt,1996-05-28,1996,05,28
1996-09-13-SowjetischeVerhaeltnisseeing.txt,SowjetischeVerhaeltnisseeing.txt,1996-09-13,1996,09,13
1996-11-27-SZInterviewmitdemlangeals.txt,SZInterviewmitdemlangeals.txt,1996-11-27,1996,11,27
1996-12-24-HeiligerBimbamwohoertdenn.txt,HeiligerBimbamwohoertdenn.txt,1996-12-24,1996,12,24
1997-02-19-KampfumGorlebenVONWOLFGA.txt,KampfumGorlebenVONWOLFGA.txt,1997-02-19,1997,02,19
1997-02-20-DerCastorBoykotttreibtden.txt,DerCastorBoykotttreibtden.txt,1997-02-20,1997,02,20
1997-02-27-WyhlKalkarWackersdorfNiede.txt,WyhlKalkarWackersdorfNiede.txt,1997-02-27,1997,02,27
1997-03-05-ProtestegegenKernkraftmange.txt,ProtestegegenKernkraftmange.txt,1997-03-05,1997,03,05
1997-04-01-AlleingegenallesOstermarsch.txt,AlleingegenallesOstermarsch.txt,1997-04-01,1997,04,01
1997-04-10-StrahlenderMuellhinterKraft.txt,StrahlenderMuellhinterKraft.txt,1997-04-10,1997,04,10
1997-05-03-GigantischeSummen.txt,GigantischeSummen.txt,1997-05-03,1997,05,03
1997-06-18-EinMusikersingtfuerGagea.txt,EinMusikersingtfuerGagea.txt,1997-06-18,1997,06,18
1997-06-27-Qualitaetalleinmachtnochke.txt,Qualitaetalleinmachtnochke.txt,1997-06-27,1997,06,27
1997-08-07-SteinediekeinBaggerwegrae.txt,SteinediekeinBaggerwegrae.txt,1997-08-07,1997,08,07
1997-09-09-Zahlenspiegel.txt,Zahlenspiegel.txt,1997-09-09,1997,09,09
1997-09-17-Atomkraftwerkeueberfluessigm.txt,Atomkraftwerkeueberfluessigm.txt,1997-09-17,1997,09,17
1997-10-15-MarihuanaEiundAlkoholMi.txt,MarihuanaEiundAlkoholMi.txt,1997-10-15,1997,10,15
